Head_x,Head_y,ElbowRight_x,ElbowRight_y,ElbowLeft_x,ElbowLeft_y,HandRight_x,HandRight_y,HandLeft_x,HandLeft_y,KneeRight_x,KneeRight_y,KneeLeft_x,KneeLeft_y,FootRight_x,FootRight_y,FootLeft_x,FootLeft_y,SpineBase_x,SpineBase_y,SpineShoulder_x,SpineShoulder_y,
-0.08321,-0.68607,-0.36851,-0.26302,0.23009,-0.34728,-0.3499,-0.12235,0.29625,-0.37733,-0.25203,0.03102,0.13008,-0.13272,-0.58374,0.29255,0.082,0.11337,-0.12566,-0.04529,-0.10227,-0.45084,
-0.09227,-0.65067,-0.35039,-0.24584,0.18599,-0.35961,-0.34649,-0.1352,0.2935,-0.33667,-0.24388,0.02169,0.11035,-0.16971,-0.60856,0.30552,0.06023,0.11831,-0.0953,-0.07117,-0.12176,-0.37648,
-0.13516,-0.6163,-0.38579,-0.28212,0.21737,-0.35604,-0.33954,-0.15202,0.24181,-0.08555,-0.24546,-0.0099,0.07821,-0.17855,-0.6216,0.34921,0.05859,0.14789,-0.12139,-0.02797,-0.12176,-0.37648,
-0.11733,-0.64319,-0.36583,-0.26529,0.18618,-0.28527,-0.29091,-0.06268,0.22273,-0.09554,-0.24865,0.03756,0.07682,-0.14938,-0.43074,0.56993,0.28843,0.2925,-0.08186,-0.04598,-0.12176,-0.37648,
-0.10167,-0.64599,-0.34353,-0.22851,0.21819,-0.27377,-0.3376,-0.01582,0.22786,-0.06077,-0.24257,0.07747,0.12767,-0.14889,-0.42597,0.54033,0.30405,0.27706,-0.11175,-0.06797,-0.12176,-0.37648,
-0.05475,-0.66613,-0.25145,-0.21478,0.18648,-0.29442,-0.32455,0.00605,0.25753,-0.08747,-0.24898,0.0329,0.13984,-0.17343,-0.26749,0.7123,0.34116,0.29257,-0.06842,-0.069,-0.08516,-0.41308,
-0.03497,-0.69794,-0.21854,-0.24503,0.16015,-0.29137,-0.27931,-0.03297,0.27763,-0.08245,-0.20388,0.22084,0.25578,-0.02297,-0.25254,0.75914,0.34353,0.2772,-0.09152,-0.04559,-0.02727,-0.4212,
-0.00499,-0.68555,-0.20798,-0.25701,0.13798,-0.28241,-0.24365,-0.01769,0.32062,-0.03694,-0.21904,0.23073,0.30259,-0.03622,-0.28172,0.74571,0.36228,0.54715,-0.05493,-0.05915,-0.02727,-0.4212,
-0.01728,-0.68088,-0.16308,-0.24849,0.14373,-0.28101,-0.24093,-0.06284,0.27341,-0.07613,-0.14841,0.23424,0.19156,0.00768,-0.25078,0.78474,0.37256,0.51084,-0.09372,-0.06482,-0.02727,-0.4212,
-0.06471,-0.66219,-0.13313,-0.26307,0.0886,-0.26629,-0.2136,-0.02171,0.31142,-0.06872,-0.20953,0.19399,0.19153,-0.02979,-0.1954,0.63297,0.3417,0.50837,-0.08739,-0.02459,-0.10227,-0.45084,
-0.06309,-0.68276,-0.16299,-0.22608,0.06149,-0.22151,-0.24538,-0.04753,0.12122,-0.09193,-0.25287,0.22059,0.18067,-0.04461,-0.1937,0.65688,0.21802,0.38518,-0.06197,-0.04366,-0.12176,-0.37648,
-0.06395,-0.64729,-0.20808,-0.25875,0.01338,-0.24195,-0.27045,-0.07019,0.12008,-0.08622,-0.29189,0.17446,0.19974,-0.0318,-0.14896,0.65811,0.22551,0.33843,-0.01202,-0.0541,-0.12176,-0.37648,
-0.05863,-0.63155,-0.22253,-0.2206,0.05637,-0.27147,-0.31412,-0.04384,0.0833,-0.13142,-0.32048,0.18539,0.1951,0.01506,-0.13879,0.66821,0.20389,0.30818,0.00972,-0.03166,-0.12176,-0.37648,
-0.08425,-0.60837,-0.19032,-0.26165,0.01556,-0.31387,-0.32851,-0.05246,0.06258,-0.09229,-0.34426,0.16155,0.19482,0.06025,-0.14697,0.63459,0.16636,0.31361,0.03844,-0.04502,-0.12176,-0.37648,
-0.1128,-0.59347,-0.2146,-0.25184,-0.02143,-0.28141,-0.29552,-0.00381,0.05535,-0.09768,-0.31813,0.15507,0.19085,0.05575,-0.16956,0.65563,0.15686,0.31042,-0.01,-0.00569,-0.12176,-0.37648,
-0.08495,-0.59199,-0.24347,-0.22018,0.01652,-0.26578,-0.32186,-0.02534,0.01275,-0.10432,-0.29342,0.10539,0.15278,0.01188,-0.14231,0.65315,0.20118,0.35598,-0.02612,-0.04552,-0.12176,-0.37648,
-0.10962,-0.56546,-0.24406,-0.23839,-0.02882,-0.26365,-0.34742,0.00226,-0.02559,-0.10285,-0.27059,0.11348,0.13474,0.01322,-0.13793,0.66206,0.21028,0.39022,-0.00786,-0.07042,-0.08516,-0.41308,
-0.12714,-0.56122,-0.25745,-0.22117,-0.0287,-0.31039,-0.33851,-0.03556,-0.05384,-0.11971,-0.30903,0.14209,0.09546,-0.00263,-0.24982,0.66572,0.22154,0.34708,0.01534,-0.09535,-0.02727,-0.4212,
-0.08791,-0.60422,-0.26204,-0.22493,-0.0724,-0.34146,-0.34478,-0.02686,-0.01733,-0.16739,-0.31514,0.14435,0.1066,-0.01492,-0.27868,0.63971,0.15716,0.4234,-0.02639,-0.13081,-0.02727,-0.4212,
-0.07507,-0.58255,-0.24024,-0.24413,-0.07831,-0.32951,-0.35187,-0.01668,-0.03846,-0.17809,-0.27195,0.13134,0.1766,0.12612,-0.31634,0.59468,0.11282,0.45243,-0.0696,-0.16409,-0.02727,-0.4212,
-0.07545,-0.55727,-0.24142,-0.26106,-0.04271,-0.30034,-0.33212,-0.03473,-0.06197,-0.14191,-0.28548,0.1761,0.17928,0.13255,-0.27586,0.555,0.11822,0.49806,-0.04344,-0.13531,-0.02727,-0.4212,
-0.05298,-0.60968,-0.23372,-0.2428,0.0859,-0.2409,-0.31758,-0.05513,-0.0461,-0.17042,-0.24824,0.23448,0.19718,0.11785,-0.29495,0.54898,0.06886,0.46268,0.00055,-0.10287,-0.02727,-0.4212,
